;App Name;App Id;Category;Rating;Rating Count;Installs;Minimum Installs;Maximum Installs;Free;Price;Currency;Size;Minimum Android;Developer Id;Developer Website;Developer Email;Released;Last Updated;Content Rating;Privacy Policy;Ad Supported;In App Purchases;Editors Choice;Scraped Time;Big_Category2;App;Image
0;Flexiroam X;com.flexiroamx;Travel & Local;3.7;1515.0;100,000+;100000.0;312649;True;0.0;USD;24M;5.0 and up;Flexiroam Asia Limited;https://www.flexiroam.com;support@flexiroam.com;May 31, 2016;Jun 14, 2021;Everyone;https://www.flexiroam.com/privacy;False;False;False;2021-06-16 08:22:37;Lifestyle;Flexiroam X;"[[[221  38  38]
  [221  38  38]
  [221  38  38]
  ...
  [221  38  38]
  [221  38  38]
  [221  38  38]]

 [[221  38  38]
  [221  38  38]
  [221  38  38]
  ...
  [221  38  38]
  [221  38  38]
  [221  38  38]]

 [[221  38  38]
  [221  38  38]
  [221  38  38]
  ...
  [221  38  38]
  [221  38  38]
  [221  38  38]]

 ...

 [[ 51  51  51]
  [ 51  51  51]
  [ 51  51  51]
  ...
  [221  38  38]
  [221  38  38]
  [221  38  38]]

 [[ 51  51  51]
  [ 51  51  51]
  [ 51  51  51]
  ...
  [221  38  38]
  [221  38  38]
  [221  38  38]]

 [[ 51  51  51]
  [ 51  51  51]
  [ 51  51  51]
  ...
  [221  38  38]
  [221  38  38]
  [221  38  38]]]"
1;Play To Win: Win Real Money in Cash Sweepstakes;net.playtowingames.casino;Casino;4.3;27931.0;1,000,000+;1000000.0;1846446;True;0.0;USD;118M;5.0 and up;Play To Win Games;https://play-to-win-casino.web.app/;support@playtowingames.net;Dec 9, 2019;Jun 02, 2021;Teen;https://playtowingames.zendesk.com/hc/en-us/articles/360035872154-Privacy-Policy;True;True;False;2021-06-16 05:51:15;Games;Play To Win: Win Real Money in Cash Sweepstakes;"[[[248 183  45]
  [249 184  45]
  [250 186  46]
  ...
  [248 191  63]
  [249 185  49]
  [250 184  44]]

 [[248 185  51]
  [249 185  50]
  [250 185  48]
  ...
  [248 188  59]
  [250 184  46]
  [250 183  42]]

 [[249 190  67]
  [249 188  63]
  [249 185  55]
  ...
  [249 183  50]
  [251 181  41]
  [252 181  38]]

 ...

 [[250 184  43]
  [250 184  45]
  [248 187  54]
  ...
  [251 188  55]
  [250 191  63]
  [250 192  66]]

 [[249 185  44]
  [248 187  49]
  [248 192  64]
  ...
  [252 186  47]
  [251 188  50]
  [250 188  52]]

 [[248 185  44]
  [248 187  51]
  [249 194  68]
  ...
  [253 186  44]
  [251 187  46]
  [251 187  47]]]"
2;潜在能力テスト－簡単暇つぶし診断アプリ　;com.kuraki.potentialtest;Strategy;3.6;168.0;10,000+;10000.0;12621;True;0.0;USD;29M;4.0 and up;DownTownApps;;kyongshi1210@gmail.com;Jun 28, 2018;Jun 29, 2018;Teen;https://gyi.spiritduck.be/privacy/;True;False;False;2021-06-16 11:04:32;Games;潜在能力テスト－簡単暇つぶし診断アプリ　;"[[[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 ...

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]]"
3;Cactus Garden Keyboard Theme;com.ikeyboard.theme.cactus.garden;Personalization;4.7;1467.0;100,000+;100000.0;155423;True;0.0;USD;3.4M;4.1 and up;Delicate theme keyboard for Andriod Apps;https://wasdesignstudiotheme2008-82ce6.web.app;was.design.studio.theme.2008@gmail.com;Dec 16, 2019;Oct 07, 2020;Everyone;http://www.livemoji.net/privacy_en_emoji_sticker_keyboard_theme.html;True;False;False;2021-06-16 14:35:00;Tools;Cactus Garden Keyboard Theme;"[[[ 0  0  0  0]
  [ 0  0  0  0]
  [ 0  0  0  0]
  ...
  [ 0  0  0  0]
  [ 0  0  0  0]
  [ 0  0  0  0]]

 [[ 0  0  0  0]
  [ 0  0  0  0]
  [ 0  0  0  0]
  ...
  [ 0  0  0  0]
  [ 0  0  0  0]
  [ 0  0  0  0]]

 [[ 0  0  0  0]
  [ 0  0  0  0]
  [ 0  0  0  0]
  ...
  [ 0  0  0  0]
  [ 0  0  0  0]
  [ 0  0  0  0]]

 ...

 [[ 0  0  0  0]
  [ 0  0  0  0]
  [ 0  0  0  0]
  ...
  [ 8  8  8  0]
  [20 20 20  0]
  [26 26 26  0]]

 [[ 0  0  0  0]
  [ 0  0  0  0]
  [ 0  0  0  0]
  ...
  [20 20 20  0]
  [50 50 50  0]
  [68 68 68  0]]

 [[ 0  0  0  0]
  [ 0  0  0  0]
  [ 0  0  0  0]
  ...
  [26 26 26  0]
  [68 68 68  0]
  [91 91 91  0]]]"
4;Beach Sand Art: Draw, Write your name;cah.phto.beachsandart;Art & Design;4.6;164.0;10,000+;10000.0;36807;True;0.0;USD;12M;4.2 and up;Creative app house;;creativeapphouse72@gmail.com;Sep 18, 2019;Aug 22, 2020;Everyone;https://creativeapphouseprivacypolicy.wordpress.com;True;False;False;2021-06-16 05:44:24;Entertainment;Beach Sand Art: Draw, Write your name;"[[[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 ...

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]]"
5;How to Draw Cars;com.sketchdrawstudioz.howtodrawcarsart;Art & Design;3.7;175.0;50,000+;50000.0;76328;True;0.0;USD;11M;4.4 and up;Offline Tools  & Art Applications;;freevideomp3tools@gmail.com;Jan 20, 2019;Aug 22, 2019;Everyone;https://sites.google.com/view/drawing-app-privacy-policy/home;True;False;False;2021-06-16 05:54:35;Entertainment;How to Draw Cars;"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [251 251 251]
  [252 252 252]
  [252 252 252]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [243 243 243]
  [243 243 243]
  [244 244 244]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [216 216 216]
  [216 216 216]
  [216 216 216]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 22  22  22]
  [ 22  22  22]
  [ 22  22  22]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 22  22  22]
  [ 22  22  22]
  [ 22  22  22]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 22  22  22]
  [ 22  22  22]
  [ 22  22  22]]]"
6;Fortrade EU Trader;eu.fortrade.pro;Finance;4.0;252.0;10,000+;10000.0;19059;True;0.0;USD;10M;4.4 and up;Fortrade Limited;https://www.fortrade.eu/;support@fortrade.eu;Jan 1, 2017;Jun 06, 2021;Everyone;https://www.fortrade.com/wp-content/uploads/legal/Fortrade_Privacy_Policy.pdf;False;False;False;2021-06-16 08:33:08;Business;Fortrade EU Trader;"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
7;MED Airport;com.tav.tibahairport;Travel & Local;4.8;117.0;10,000+;10000.0;10199;True;0.0;USD;8.2M;4.0 and up;TAV Bilisim Hizmetleri A.Ş.;http://medairport.com;MobilAndroid@tav.aero;Sep 23, 2016;Feb 11, 2019;Everyone;http://www.tibahairports.com/en-EN/Other/Pages/PrivacyPolicy.aspx;False;False;False;2021-06-16 03:36:46;Lifestyle;MED Airport;"[[[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 ...

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]]"
8;Island Village;com.gamegarden.iv;Casual;3.8;9157.0;500,000+;500000.0;660414;True;0.0;USD;68M;2.3.3 and up;Game Garden™;http://www.game-garden.com;support.android@islandvillagegame.com;Dec 11, 2015;Sep 08, 2017;Everyone;http://game-garden.com/files/settings/10/ggllcprivacypolicy.pdf;True;True;False;2021-06-15 21:03:36;Games;Island Village;"[[[  0   0   0   0]
  [  0   0   0   0]
  [  0   0   0   0]
  ...
  [  0   0   0   0]
  [  0   0   0   0]
  [  0   0   0   0]]

 [[  0   0   0   0]
  [  0   0   0   0]
  [  0   0   0   0]
  ...
  [  0   0   0   0]
  [  0   0   0   0]
  [  0   0   0   0]]

 [[  0   0   0   0]
  [  0   0   0   0]
  [  0   0   0   0]
  ...
  [  0   0   0   0]
  [  0   0   0   0]
  [  0   0   0   0]]

 ...

 [[170 160 143   5]
  [138 130 116   4]
  [ 81  76  67   2]
  ...
  [  0   0   0   0]
  [  0   0   0   0]
  [  0   0   0   0]]

 [[198 190 164   6]
  [176 169 146   5]
  [138 130 114   4]
  ...
  [  0   0   0   0]
  [  0   0   0   0]
  [  0   0   0   0]]

 [[213 205 175   7]
  [198 189 163   6]
  [170 161 140   5]
  ...
  [  0   0   0   0]
  [  0   0   0   0]
  [  0   0   0   0]]]"
9;Counter FPS Shooting 2020: Fps Shooting Games;com.oreogames.counter.terrorist.shooting.critical.strike.attack;Action;3.9;2458.0;1,000,000+;1000000.0;1222765;True;0.0;USD;44M;4.4 and up;Appstech Studio;https://appstechstudio.blogspot.com/;appstechstudios@gmail.com;Feb 27, 2018;Mar 26, 2021;Mature 17+;https://appstechstudio.blogspot.com/2020/05/privacy-policy.html;True;True;False;2021-06-16 02:34:12;Games;Counter FPS Shooting 2020: Fps Shooting Games;"[[[104 194 247]
  [103 194 247]
  [103 194 247]
  ...
  [185 217 247]
  [185 217 248]
  [185 217 248]]

 [[103 194 247]
  [103 194 247]
  [103 193 247]
  ...
  [185 217 247]
  [186 217 247]
  [186 217 248]]

 [[103 194 247]
  [103 194 247]
  [103 194 247]
  ...
  [187 217 247]
  [188 217 248]
  [188 217 248]]

 ...

 [[118 105 135]
  [118 105 136]
  [118 105 139]
  ...
  [153 129 173]
  [153 129 176]
  [154 129 178]]

 [[121 107 141]
  [121 108 141]
  [121 107 141]
  ...
  [153 129 176]
  [153 128 181]
  [154 129 184]]

 [[123 108 144]
  [123 109 144]
  [122 108 142]
  ...
  [155 130 178]
  [155 129 183]
  [155 130 187]]]"
